month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2021/10/01 04:00:00+00,Weekday,21,All Bus,5623410,267781,1946
2021/10/01 04:00:00+00,Weekday,21,Commuter Rail,1086358,51731,1947
2021/10/01 04:00:00+00,Weekday,21,Ferry,36871,1756,1948
2021/10/01 04:00:00+00,Weekday,21,The RIDE,64281,3061,1949
2021/10/01 04:00:00+00,Saturday,5,Blue Line,162825,32565,1950
2021/12/01 05:00:00+00,Saturday,4,Bus,577059,144265,1951
2021/12/01 05:00:00+00,Saturday,4,Trackless Trolley,11782,2946,1952
2021/12/01 05:00:00+00,Saturday,4,Private Bus,3757,939,1953
2021/12/01 05:00:00+00,Saturday,4,All Bus,667865,166966,1954
2021/12/01 05:00:00+00,Saturday,4,Commuter Rail,62655,15664,1955
2021/12/01 05:00:00+00,Saturday,4,The RIDE,5772,1443,1956
2021/12/01 05:00:00+00,Sunday,4,Blue Line,80798,20200,1957
2021/12/01 05:00:00+00,Sunday,4,Orange Line,180268,45067,1958
2021/12/01 05:00:00+00,Sunday,4,Red Line,188170,47042,1959
2021/12/01 05:00:00+00,Sunday,4,Heavy Rail,449236,112309,1960
2021/12/01 05:00:00+00,Sunday,4,Green Line,199521,49880,1961
2021/12/01 05:00:00+00,Sunday,4,Light Rail,199521,49880,1962
2021/12/01 05:00:00+00,Sunday,4,Silver Line,57834,14458,1963
2021/12/01 05:00:00+00,Sunday,4,Bus,352131,88033,1964
2021/12/01 05:00:00+00,Sunday,4,Private Bus,2232,558,1965
2021/12/01 05:00:00+00,Sunday,4,All Bus,412196,103049,1966
2021/12/01 05:00:00+00,Sunday,4,Commuter Rail,53916,13479,1967
2021/12/01 05:00:00+00,Sunday,4,The RIDE,4928,1232,1968
2021/12/01 05:00:00+00,Total,31,Blue Line,976287,31493,1969
2021/12/01 05:00:00+00,Total,31,Orange Line,2458522,79307,1970
2021/12/01 05:00:00+00,Total,31,Red Line,2674844,86285,1971
2021/12/01 05:00:00+00,Total,31,Heavy Rail,6109652,197086,1972
2021/12/01 05:00:00+00,Total,31,Green Line,2388560,77050,1973
2021/12/01 05:00:00+00,Total,31,Light Rail,2388560,77050,1974
2021/12/01 05:00:00+00,Total,31,Silver Line,589137,19004,1975
2021/12/01 05:00:00+00,Total,31,Bus,5324954,171773,1976
2021/12/01 05:00:00+00,Total,31,Trackless Trolley,113877,3673,1977
2021/12/01 05:00:00+00,Total,31,Private Bus,45238,1459,1978
2021/12/01 05:00:00+00,Total,31,All Bus,6073207,195910,1979
2021/12/01 05:00:00+00,Total,31,Commuter Rail,1141384,36819,1980
2021/12/01 05:00:00+00,Total,31,Ferry,32649,1053,1981
2021/12/01 05:00:00+00,Total,31,The RIDE,75386,2432,1982
2021/11/01 04:00:00+00,Weekday,21,Blue Line,806916,38425,1983
2021/11/01 04:00:00+00,Weekday,21,Orange Line,2180304,103824,1984
2021/11/01 04:00:00+00,Weekday,21,Red Line,2517633,119887,1985
2021/11/01 04:00:00+00,Weekday,21,Heavy Rail,5504853,262136,1986
2021/11/01 04:00:00+00,Weekday,21,Green Line,2142171,102008,1987
2021/11/01 04:00:00+00,Weekday,21,Light Rail,2142171,102008,1988
2021/11/01 04:00:00+00,Weekday,21,Silver Line,489273,23299,1989
2021/11/01 04:00:00+00,Weekday,21,Bus,4841965,230570,1990
2021/11/01 04:00:00+00,Weekday,21,Trackless Trolley,105075,5004,1991
2021/11/01 04:00:00+00,Weekday,21,Private Bus,36314,1729,1992
2021/11/01 04:00:00+00,Weekday,21,All Bus,5472627,260601,1993
2021/11/01 04:00:00+00,Weekday,21,Commuter Rail,1122143,53435,1994
2021/11/01 04:00:00+00,Weekday,21,Ferry,37799,1800,1995
2021/11/01 04:00:00+00,Weekday,21,The RIDE,59934,2854,1996
2021/11/01 04:00:00+00,Saturday,4,Blue Line,117236,29309,1997
2021/11/01 04:00:00+00,Saturday,4,Orange Line,284461,71115,1998
2021/11/01 04:00:00+00,Saturday,4,Red Line,297735,74434,1999
2021/11/01 04:00:00+00,Saturday,4,Heavy Rail,699431,174858,2000
2021/06/01 04:00:00+00,Weekday,22,Commuter Rail,615247,27966,2001
2021/06/01 04:00:00+00,Weekday,22,Ferry,39089,1777,2002
2021/06/01 04:00:00+00,Weekday,22,The RIDE,58594,2663,2003
2021/09/01 04:00:00+00,Saturday,4,Blue Line,134292,33573,2004
2021/06/01 04:00:00+00,Saturday,4,Blue Line,109860,27465,2005
2021/06/01 04:00:00+00,Saturday,4,Orange Line,222160,55540,2006
2021/06/01 04:00:00+00,Saturday,4,Red Line,273570,68392,2007
2021/06/01 04:00:00+00,Saturday,4,Heavy Rail,605591,151398,2008
2021/06/01 04:00:00+00,Saturday,4,Green Line,214832,53708,2009
2021/06/01 04:00:00+00,Saturday,4,Light Rail,214832,53708,2010
2021/06/01 04:00:00+00,Saturday,4,Silver Line,58376,14594,2011
2021/06/01 04:00:00+00,Saturday,4,Bus,489040,122260,2012
2021/06/01 04:00:00+00,Saturday,4,Trackless Trolley,9189,2297,2013
2021/06/01 04:00:00+00,Saturday,4,Private Bus,3799,950,2014
2021/06/01 04:00:00+00,Saturday,4,All Bus,560405,140101,2015
2021/06/01 04:00:00+00,Saturday,4,Commuter Rail,35777,8944,2016
2021/06/01 04:00:00+00,Sunday,4,Blue Line,87346,21836,2017
2021/06/01 04:00:00+00,Sunday,4,Orange Line,160620,40155,2018
2021/06/01 04:00:00+00,Sunday,4,Red Line,200988,50247,2019
2021/06/01 04:00:00+00,Sunday,4,Heavy Rail,448954,112238,2020
2021/06/01 04:00:00+00,Sunday,4,Green Line,157214,39304,2021
2021/06/01 04:00:00+00,Sunday,4,Light Rail,157214,39304,2022
2021/06/01 04:00:00+00,Sunday,4,Silver Line,49236,12309,2023
2021/06/01 04:00:00+00,Sunday,4,Bus,326992,81748,2024
2021/06/01 04:00:00+00,Sunday,4,Private Bus,2342,586,2025
2021/06/01 04:00:00+00,Sunday,4,All Bus,378570,94642,2026
2021/06/01 04:00:00+00,Sunday,4,Commuter Rail,31557,7889,2027
2021/06/01 04:00:00+00,Total,30,Blue Line,919406,30647,2028
2021/06/01 04:00:00+00,Total,30,Orange Line,1995451,66515,2029
2021/06/01 04:00:00+00,Total,30,Red Line,2420917,80697,2030
2021/06/01 04:00:00+00,Total,30,Heavy Rail,5335774,177859,2031
2021/06/01 04:00:00+00,Total,30,Green Line,1724877,57496,2032
2021/06/01 04:00:00+00,Total,30,Light Rail,1724877,57496,2033
2021/06/01 04:00:00+00,Total,30,Silver Line,526528,17551,2034
2021/06/01 04:00:00+00,Total,30,Bus,4855997,161867,2035
2021/06/01 04:00:00+00,Total,30,Trackless Trolley,98368,3279,2036
2021/06/01 04:00:00+00,Total,30,Private Bus,38644,1288,2037
2021/06/01 04:00:00+00,Total,30,All Bus,5519538,183985,2038
2021/06/01 04:00:00+00,Total,30,Commuter Rail,682581,22753,2039
2021/06/01 04:00:00+00,Total,30,Ferry,50814,1694,2040
2021/06/01 04:00:00+00,Total,30,The RIDE,68711,2290,2041
2021/05/01 04:00:00+00,Weekday,20,Blue Line,590264,29513,2042
2021/05/01 04:00:00+00,Weekday,20,Orange Line,1318475,65924,2043
2021/05/01 04:00:00+00,Weekday,20,Red Line,1558519,77926,2044
2021/05/01 04:00:00+00,Weekday,20,Heavy Rail,3467259,173363,2045
2021/05/01 04:00:00+00,Weekday,20,Green Line,1084391,54220,2046
2021/05/01 04:00:00+00,Weekday,20,Light Rail,1084391,54220,2047
2021/05/01 04:00:00+00,Weekday,20,Silver Line,348164,17408,2048
2021/05/01 04:00:00+00,Weekday,20,Bus,3555724,177786,2049
2021/05/01 04:00:00+00,Weekday,20,Trackless Trolley,79439,3972,2050
2021/05/01 04:00:00+00,Weekday,20,Private Bus,28705,1435,2051
2021/04/01 04:00:00+00,Weekday,22,Private Bus,27908,1269,2052
2021/10/01 04:00:00+00,Saturday,5,Orange Line,391042,78208,2053
2021/05/01 04:00:00+00,Weekday,20,All Bus,4012032,200602,2054
2021/07/01 04:00:00+00,Weekday,22,Ferry,53003,2409,2055
2021/09/01 04:00:00+00,Saturday,4,Orange Line,301183,75296,2056
2021/10/01 04:00:00+00,Saturday,5,Red Line,431746,86349,2057
2021/04/01 04:00:00+00,Weekday,22,All Bus,3821265,173694,2058
2021/07/01 04:00:00+00,Weekday,22,The RIDE,56089,2550,2059
2021/05/01 04:00:00+00,Weekday,20,Commuter Rail,475908,23795,2060
2021/09/01 04:00:00+00,Saturday,4,Red Line,354442,88610,2061
2021/10/01 04:00:00+00,Saturday,5,Heavy Rail,985613,197123,2062
2021/04/01 04:00:00+00,Weekday,22,Commuter Rail,368443,16747,2063
2021/07/01 04:00:00+00,Saturday,5,Blue Line,142504,28501,2064
2021/05/01 04:00:00+00,Weekday,20,Ferry,13076,654,2065
2021/09/01 04:00:00+00,Saturday,4,Heavy Rail,789917,197479,2066
2021/10/01 04:00:00+00,Saturday,5,Green Line,439490,87898,2067
2021/04/01 04:00:00+00,Weekday,22,Ferry,8679,394,2068
2021/07/01 04:00:00+00,Saturday,5,Orange Line,302948,60590,2069
2021/05/01 04:00:00+00,Weekday,20,The RIDE,52431,2622,2070
2021/09/01 04:00:00+00,Saturday,4,Green Line,365239,91310,2071
2021/10/01 04:00:00+00,Saturday,5,Light Rail,439490,87898,2072
2021/04/01 04:00:00+00,Weekday,22,The RIDE,53632,2438,2073
2021/07/01 04:00:00+00,Saturday,5,Red Line,359713,71943,2074
2021/05/01 04:00:00+00,Saturday,5,Blue Line,117620,23524,2075
2021/09/01 04:00:00+00,Saturday,4,Light Rail,365239,91310,2076
2021/10/01 04:00:00+00,Saturday,5,Silver Line,80294,16059,2077
2021/04/01 04:00:00+00,Saturday,4,Blue Line,88248,22062,2078
2021/07/01 04:00:00+00,Saturday,5,Heavy Rail,805165,161033,2079
2021/05/01 04:00:00+00,Saturday,5,Orange Line,241891,48378,2080
2021/09/01 04:00:00+00,Saturday,4,Silver Line,66938,16734,2081
2021/10/01 04:00:00+00,Saturday,5,Bus,674849,134970,2082
2021/04/01 04:00:00+00,Saturday,4,Orange Line,168109,42027,2083
2021/07/01 04:00:00+00,Saturday,5,Green Line,321872,64374,2084
2021/05/01 04:00:00+00,Saturday,5,Red Line,279367,55873,2085
2021/09/01 04:00:00+00,Saturday,4,Bus,549174,137294,2086
2021/10/01 04:00:00+00,Saturday,5,Trackless Trolley,15742,3148,2087
2021/04/01 04:00:00+00,Saturday,4,Red Line,209724,52431,2088
2021/07/01 04:00:00+00,Saturday,5,Light Rail,321872,64374,2089
2021/05/01 04:00:00+00,Saturday,5,Heavy Rail,638878,127776,2090
2021/09/01 04:00:00+00,Saturday,4,Trackless Trolley,11494,2874,2091
2021/10/01 04:00:00+00,Saturday,5,Private Bus,5151,1030,2092
2021/04/01 04:00:00+00,Saturday,4,Heavy Rail,466081,116520,2093
2021/07/01 04:00:00+00,Saturday,5,Silver Line,74876,14975,2094
2021/05/01 04:00:00+00,Saturday,5,Green Line,229817,45963,2095
2021/09/01 04:00:00+00,Saturday,4,Private Bus,4074,1018,2096
2021/10/01 04:00:00+00,Saturday,5,All Bus,776036,155207,2097
2021/04/01 04:00:00+00,Saturday,4,Green Line,175019,43755,2098
2021/07/01 04:00:00+00,Saturday,5,Bus,589277,117855,2099
2021/05/01 04:00:00+00,Saturday,5,Light Rail,229817,45963,2100
2021/09/01 04:00:00+00,Saturday,4,All Bus,631680,157920,2101
2021/09/01 04:00:00+00,Saturday,4,Commuter Rail,86120,21530,2102
2021/09/01 04:00:00+00,Sunday,4,Blue Line,101652,25413,2103
2021/09/01 04:00:00+00,Sunday,4,Orange Line,217487,54372,2104
2021/09/01 04:00:00+00,Sunday,4,Red Line,260502,65126,2105
2021/09/01 04:00:00+00,Sunday,4,Heavy Rail,579641,144910,2106
2021/09/01 04:00:00+00,Sunday,4,Green Line,274783,68696,2107
2021/09/01 04:00:00+00,Sunday,4,Light Rail,274783,68696,2108
2021/09/01 04:00:00+00,Sunday,4,Silver Line,66938,16734,2109
2021/09/01 04:00:00+00,Sunday,4,Bus,352179,88045,2110
2021/09/01 04:00:00+00,Sunday,4,Private Bus,2993,748,2111
2021/09/01 04:00:00+00,Sunday,4,All Bus,422110,105528,2112
2021/09/01 04:00:00+00,Sunday,4,Commuter Rail,70885,17721,2113
2021/09/01 04:00:00+00,Total,30,Blue Line,1122408,37414,2114
2021/09/01 04:00:00+00,Total,30,Orange Line,2737988,91266,2115
2021/09/01 04:00:00+00,Total,30,Red Line,3403839,113461,2116
2021/09/01 04:00:00+00,Total,30,Heavy Rail,7264235,242141,2117
2021/09/01 04:00:00+00,Total,30,Green Line,3000467,100016,2118
2021/09/01 04:00:00+00,Total,30,Light Rail,3000467,100016,2119
2021/09/01 04:00:00+00,Total,30,Silver Line,628547,20952,2120
2021/09/01 04:00:00+00,Total,30,Bus,5907005,196900,2121
2021/09/01 04:00:00+00,Total,30,Trackless Trolley,119462,3982,2122
2021/09/01 04:00:00+00,Total,30,Private Bus,43192,1440,2123
2021/09/01 04:00:00+00,Total,30,All Bus,6698206,223274,2124
2021/09/01 04:00:00+00,Total,30,Commuter Rail,1135782,37859,2125
2021/09/01 04:00:00+00,Total,30,Ferry,51686,1723,2126
2021/09/01 04:00:00+00,Total,30,The RIDE,75787,2526,2127
2021/08/01 04:00:00+00,Weekday,22,Blue Line,791034,35956,2128
2021/08/01 04:00:00+00,Weekday,22,Orange Line,1872653,85121,2129
2021/08/01 04:00:00+00,Weekday,22,Red Line,2253065,102412,2130
2021/08/01 04:00:00+00,Weekday,22,Heavy Rail,4916752,223489,2131
2021/08/01 04:00:00+00,Weekday,22,Green Line,1812627,82392,2132
2021/08/01 04:00:00+00,Weekday,22,Light Rail,1812627,82392,2133
2021/08/01 04:00:00+00,Weekday,22,Silver Line,468132,21279,2134
2021/08/01 04:00:00+00,Weekday,22,Bus,4239478,192704,2135
2021/08/01 04:00:00+00,Weekday,22,Trackless Trolley,89027,4047,2136
2021/08/01 04:00:00+00,Weekday,22,Private Bus,34530,1570,2137
2021/08/01 04:00:00+00,Weekday,22,All Bus,4831167,219598,2138
2021/08/01 04:00:00+00,Weekday,22,Commuter Rail,736562,33480,2139
2021/08/01 04:00:00+00,Weekday,22,Ferry,50021,2274,2140
2021/04/01 04:00:00+00,Saturday,4,Light Rail,175019,43755,2141
2021/05/01 04:00:00+00,Saturday,5,Silver Line,62864,12573,2142
2021/10/01 04:00:00+00,Saturday,5,Commuter Rail,149237,29847,2143
2021/07/01 04:00:00+00,Saturday,5,Trackless Trolley,11540,2308,2144
2021/04/01 04:00:00+00,Saturday,4,Silver Line,48486,12122,2145
2021/05/01 04:00:00+00,Saturday,5,Bus,545009,109002,2146
2021/10/01 04:00:00+00,Sunday,5,Blue Line,124325,24865,2147
2021/07/01 04:00:00+00,Saturday,5,Private Bus,4541,908,2148
2021/04/01 04:00:00+00,Saturday,4,Bus,444130,111032,2149
2021/05/01 04:00:00+00,Saturday,5,Trackless Trolley,10883,2177,2150
2021/10/01 04:00:00+00,Sunday,5,Orange Line,281972,56394,2151
2021/07/01 04:00:00+00,Saturday,5,All Bus,680234,136047,2152
2021/04/01 04:00:00+00,Saturday,4,Trackless Trolley,8523,2131,2153
2021/05/01 04:00:00+00,Saturday,5,Private Bus,4316,863,2154
2021/10/01 04:00:00+00,Sunday,5,Red Line,320135,64027,2155
2021/07/01 04:00:00+00,Saturday,5,Commuter Rail,71084,14217,2156
2021/04/01 04:00:00+00,Saturday,4,Private Bus,4418,1104,2157
2021/05/01 04:00:00+00,Saturday,5,All Bus,623073,124615,2158
2021/10/01 04:00:00+00,Sunday,5,Heavy Rail,726432,145286,2159
2021/07/01 04:00:00+00,Sunday,4,Blue Line,82791,20698,2160
2021/04/01 04:00:00+00,Saturday,4,All Bus,505557,126389,2161
2021/05/01 04:00:00+00,Saturday,5,Commuter Rail,37154,7431,2162
2021/10/01 04:00:00+00,Sunday,5,Green Line,323740,64748,2163
2021/07/01 04:00:00+00,Sunday,4,Orange Line,167575,41894,2164
2021/04/01 04:00:00+00,Saturday,4,Commuter Rail,23530,5882,2165
2021/05/01 04:00:00+00,Sunday,5,Blue Line,89794,17959,2166
2021/10/01 04:00:00+00,Sunday,5,Light Rail,323740,64748,2167
2021/07/01 04:00:00+00,Sunday,4,Red Line,206762,51690,2168
2021/04/01 04:00:00+00,Sunday,4,Blue Line,60122,15030,2169
2021/05/01 04:00:00+00,Sunday,5,Orange Line,174624,34925,2170
2021/10/01 04:00:00+00,Sunday,5,Silver Line,70682,14136,2171
2021/07/01 04:00:00+00,Sunday,4,Heavy Rail,457128,114282,2172
2021/04/01 04:00:00+00,Sunday,4,Orange Line,108413,27103,2173
2021/05/01 04:00:00+00,Sunday,5,Red Line,204867,40973,2174
2021/10/01 04:00:00+00,Sunday,5,Bus,441251,88250,2175
2021/07/01 04:00:00+00,Sunday,4,Green Line,179820,44955,2176
2021/04/01 04:00:00+00,Sunday,4,Red Line,136441,34110,2177
2021/05/01 04:00:00+00,Sunday,5,Heavy Rail,469284,93857,2178
2021/10/01 04:00:00+00,Sunday,5,Private Bus,3005,601,2179
2021/07/01 04:00:00+00,Sunday,4,Light Rail,179820,44955,2180
2021/04/01 04:00:00+00,Sunday,4,Heavy Rail,304976,76244,2181
2021/05/01 04:00:00+00,Sunday,5,Green Line,167603,33521,2182
2021/10/01 04:00:00+00,Sunday,5,All Bus,514938,102988,2183
2021/07/01 04:00:00+00,Sunday,4,Silver Line,64429,16107,2184
2021/04/01 04:00:00+00,Sunday,4,Green Line,112086,28022,2185
2021/05/01 04:00:00+00,Sunday,5,Light Rail,167603,33521,2186
2021/10/01 04:00:00+00,Sunday,5,Commuter Rail,126000,25200,2187
2021/07/01 04:00:00+00,Sunday,4,Bus,389854,97464,2188
2021/04/01 04:00:00+00,Sunday,4,Light Rail,112086,28022,2189
2021/05/01 04:00:00+00,Sunday,5,Silver Line,65582,13116,2190
2021/10/01 04:00:00+00,Total,31,Blue Line,1163572,37535,2191
2021/07/01 04:00:00+00,Sunday,4,Private Bus,2756,689,2192
2021/04/01 04:00:00+00,Sunday,4,Silver Line,37141,9285,2193
2021/05/01 04:00:00+00,Sunday,5,Bus,445102,89020,2194
2021/05/01 04:00:00+00,Sunday,5,Private Bus,3135,627,2195
2021/05/01 04:00:00+00,Sunday,5,All Bus,513819,102764,2196
2021/05/01 04:00:00+00,Sunday,5,Commuter Rail,25008,5002,2197
2021/05/01 04:00:00+00,Total,31,Blue Line,816744,26347,2198
2021/05/01 04:00:00+00,Total,31,Orange Line,1775222,57265,2199
2021/05/01 04:00:00+00,Total,31,Red Line,2084202,67232,2200
2021/05/01 04:00:00+00,Total,31,Heavy Rail,4676168,150844,2201
2021/05/01 04:00:00+00,Total,31,Green Line,1516471,48918,2202
2021/05/01 04:00:00+00,Total,31,Light Rail,1516471,48918,2203
2021/05/01 04:00:00+00,Total,31,Silver Line,476610,15375,2204
2021/05/01 04:00:00+00,Total,31,Bus,4545834,146640,2205
2021/05/01 04:00:00+00,Total,31,Trackless Trolley,90322,2914,2206
2021/05/01 04:00:00+00,Total,31,Private Bus,36157,1166,2207
2021/05/01 04:00:00+00,Total,31,All Bus,5148923,166094,2208
2021/05/01 04:00:00+00,Total,31,Commuter Rail,538070,17357,2209
2021/05/01 04:00:00+00,Total,31,Ferry,13076,422,2210
2021/05/01 04:00:00+00,Total,31,The RIDE,64259,2073,2211
2021/04/01 04:00:00+00,Weekday,22,Blue Line,584176,26553,2212
2021/04/01 04:00:00+00,Weekday,22,Orange Line,1251310,56878,2213
2021/04/01 04:00:00+00,Weekday,22,Red Line,1482972,67408,2214
2021/04/01 04:00:00+00,Weekday,22,Heavy Rail,3318458,150839,2215
2021/04/01 04:00:00+00,Weekday,22,Green Line,1118899,50859,2216
2021/04/01 04:00:00+00,Weekday,22,Light Rail,1118899,50859,2217
2021/04/01 04:00:00+00,Weekday,22,Silver Line,324681,14758,2218
2021/04/01 04:00:00+00,Weekday,22,Bus,3393364,154244,2219
2021/04/01 04:00:00+00,Weekday,22,Trackless Trolley,75312,3423,2220
2021/10/01 04:00:00+00,Total,31,Orange Line,2919098,94164,2221
2021/04/01 04:00:00+00,Sunday,4,Bus,266114,66528,2222
2021/10/01 04:00:00+00,Total,31,Red Line,3428527,110598,2223
2021/04/01 04:00:00+00,Sunday,4,Private Bus,1877,469,2224
2021/10/01 04:00:00+00,Total,31,Heavy Rail,7511197,242297,2225
2021/04/01 04:00:00+00,Sunday,4,All Bus,305132,76283,2226
2021/10/01 04:00:00+00,Total,31,Green Line,3047920,98320,2227
2021/04/01 04:00:00+00,Sunday,4,Commuter Rail,14395,3599,2228
2021/10/01 04:00:00+00,Total,31,Light Rail,3047920,98320,2229
2021/04/01 04:00:00+00,Total,30,Blue Line,732545,24418,2230
2021/07/01 04:00:00+00,Sunday,4,All Bus,457039,114260,2231
2021/10/01 04:00:00+00,Total,31,Silver Line,656469,21176,2232
2021/04/01 04:00:00+00,Total,30,Orange Line,1527832,50928,2233
2021/07/01 04:00:00+00,Sunday,4,Commuter Rail,50463,12616,2234
2021/10/01 04:00:00+00,Total,31,Bus,6092826,196543,2235
2021/04/01 04:00:00+00,Total,30,Red Line,1829137,60971,2236
2021/07/01 04:00:00+00,Total,31,Blue Line,987719,31862,2237
2021/10/01 04:00:00+00,Total,31,Trackless Trolley,120614,3891,2238
2021/04/01 04:00:00+00,Total,30,Heavy Rail,4089515,136317,2239
2021/07/01 04:00:00+00,Total,31,Orange Line,2233289,72042,2240
2021/10/01 04:00:00+00,Total,31,Private Bus,44476,1435,2241
2021/04/01 04:00:00+00,Total,30,Green Line,1406004,46867,2242
2021/07/01 04:00:00+00,Total,31,Red Line,2692995,86871,2243
2021/10/01 04:00:00+00,Total,31,All Bus,6914385,223045,2244
2021/04/01 04:00:00+00,Total,30,Light Rail,1406004,46867,2245
2021/07/01 04:00:00+00,Total,31,Heavy Rail,5914003,190774,2246
2021/10/01 04:00:00+00,Total,31,Commuter Rail,1361595,43922,2247
2021/04/01 04:00:00+00,Total,30,Silver Line,423432,14114,2248
2021/07/01 04:00:00+00,Total,31,Green Line,2228599,71890,2249
2021/10/01 04:00:00+00,Total,31,Ferry,43954,1418,2250
2021/04/01 04:00:00+00,Total,30,Bus,4229354,140978,2251
2021/07/01 04:00:00+00,Total,31,Light Rail,2228599,71890,2252
2021/10/01 04:00:00+00,Total,31,The RIDE,78976,2548,2253
2021/04/01 04:00:00+00,Total,30,Trackless Trolley,86097,2870,2254
2021/07/01 04:00:00+00,Total,31,Silver Line,576309,18591,2255
2021/09/01 04:00:00+00,Weekday,21,Blue Line,858551,40883,2256
2021/04/01 04:00:00+00,Total,30,Private Bus,34203,1140,2257
2021/07/01 04:00:00+00,Total,31,Bus,4905539,158243,2258
2021/09/01 04:00:00+00,Weekday,21,Orange Line,2160932,102902,2259
2021/04/01 04:00:00+00,Total,30,All Bus,4773086,159103,2260
2021/07/01 04:00:00+00,Total,31,Trackless Trolley,99801,3219,2261
2021/09/01 04:00:00+00,Weekday,21,Red Line,2718541,129454,2262
2021/04/01 04:00:00+00,Total,30,Commuter Rail,406368,13546,2263
2021/07/01 04:00:00+00,Total,31,Private Bus,39498,1274,2264
2021/09/01 04:00:00+00,Weekday,21,Heavy Rail,5738024,273239,2265
2021/04/01 04:00:00+00,Total,30,Ferry,8679,289,2266
2021/07/01 04:00:00+00,Total,31,All Bus,5621146,181327,2267
2021/09/01 04:00:00+00,Weekday,21,Green Line,2283557,108741,2268
2021/04/01 04:00:00+00,Total,30,The RIDE,62512,2084,2269
2021/07/01 04:00:00+00,Total,31,Commuter Rail,771532,24888,2270
2021/09/01 04:00:00+00,Weekday,21,Light Rail,2283557,108741,2271
2021/03/01 05:00:00+00,Weekday,23,Blue Line,559731,24336,2272
2021/07/01 04:00:00+00,Total,31,Ferry,68016,2194,2273
2021/09/01 04:00:00+00,Weekday,21,Silver Line,487975,23237,2274
2021/03/01 05:00:00+00,Weekday,23,Orange Line,1203963,52346,2275
2021/07/01 04:00:00+00,Total,31,The RIDE,67121,2165,2276
2021/09/01 04:00:00+00,Weekday,21,Bus,4906341,233635,2277
2021/03/01 05:00:00+00,Weekday,23,Red Line,1401101,60917,2278
2021/06/01 04:00:00+00,Weekday,22,Blue Line,722199,32827,2279
2021/09/01 04:00:00+00,Weekday,21,Trackless Trolley,107969,5141,2280
2021/03/01 05:00:00+00,Weekday,23,Heavy Rail,3164795,137600,2281
2021/06/01 04:00:00+00,Weekday,22,Orange Line,1612670,73303,2282
2021/09/01 04:00:00+00,Weekday,21,Private Bus,36125,1720,2283
2021/03/01 05:00:00+00,Weekday,23,Green Line,1078637,46897,2284
2021/06/01 04:00:00+00,Weekday,22,Red Line,1946359,88471,2285
2021/09/01 04:00:00+00,Weekday,21,All Bus,5538410,263734,2286
2021/03/01 05:00:00+00,Weekday,23,Light Rail,1078637,46897,2287
2021/06/01 04:00:00+00,Weekday,22,Heavy Rail,4281229,194601,2288
2021/08/01 04:00:00+00,Weekday,22,The RIDE,56713,2578,2289
2021/09/01 04:00:00+00,Weekday,21,Commuter Rail,978777,46608,2290
2021/09/01 04:00:00+00,Weekday,21,Ferry,41106,1957,2291
2021/09/01 04:00:00+00,Weekday,21,The RIDE,61257,2917,2292
2021/08/01 04:00:00+00,Saturday,4,Blue Line,125821,31455,2293
2021/03/01 05:00:00+00,Weekday,23,Silver Line,328741,14293,2294
2021/06/01 04:00:00+00,Weekday,22,Green Line,1352831,61492,2295
2021/08/01 04:00:00+00,Saturday,4,Orange Line,260290,65072,2296
2021/03/01 05:00:00+00,Weekday,23,Bus,3508582,152547,2297
2021/06/01 04:00:00+00,Weekday,22,Light Rail,1352831,61492,2298
2021/08/01 04:00:00+00,Saturday,4,Red Line,307025,76756,2299
2021/06/01 04:00:00+00,Weekday,22,Silver Line,418916,19042,2300
2021/08/01 04:00:00+00,Saturday,4,Heavy Rail,693137,173284,2301
2021/06/01 04:00:00+00,Weekday,22,Bus,4039965,183635,2302
2021/08/01 04:00:00+00,Saturday,4,Green Line,267202,66800,2303
2021/06/01 04:00:00+00,Weekday,22,Trackless Trolley,89179,4054,2304
2021/08/01 04:00:00+00,Saturday,4,Light Rail,267202,66800,2305
2021/06/01 04:00:00+00,Weekday,22,Private Bus,32503,1477,2306
2021/08/01 04:00:00+00,Saturday,4,Silver Line,62860,15715,2307
2021/06/01 04:00:00+00,Weekday,22,All Bus,4580563,208207,2308
2021/08/01 04:00:00+00,Saturday,4,Bus,515243,128811,2309
2021/08/01 04:00:00+00,Saturday,4,Trackless Trolley,11146,2786,2310
2021/08/01 04:00:00+00,Saturday,4,Private Bus,3907,977,2311
2021/08/01 04:00:00+00,Saturday,4,All Bus,593157,148289,2312
2021/08/01 04:00:00+00,Saturday,4,Commuter Rail,63511,15878,2313
2021/08/01 04:00:00+00,Sunday,5,Blue Line,109827,21965,2314
2021/08/01 04:00:00+00,Sunday,5,Orange Line,218937,43787,2315
2021/08/01 04:00:00+00,Sunday,5,Red Line,265071,53014,2316
2021/08/01 04:00:00+00,Sunday,5,Heavy Rail,593835,118767,2317
2021/08/01 04:00:00+00,Sunday,5,Green Line,229079,45816,2318
2021/08/01 04:00:00+00,Sunday,5,Light Rail,229079,45816,2319
2021/08/01 04:00:00+00,Sunday,5,Silver Line,62850,12570,2320
2021/08/01 04:00:00+00,Sunday,5,Bus,388904,77781,2321
2021/08/01 04:00:00+00,Sunday,5,Private Bus,2688,538,2322
2021/08/01 04:00:00+00,Sunday,5,All Bus,454441,90888,2323
2021/08/01 04:00:00+00,Sunday,5,Commuter Rail,60391,12078,2324
